URN,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (code),TypeOfEstablishment (name),EstablishmentTypeGroup (code),EstablishmentTypeGroup (name),EstablishmentStatus (code),EstablishmentStatus (name),ReasonEstablishmentOpened (code),ReasonEstablishmentOpened (name),OpenDate,ReasonEstablishmentClosed (code),ReasonEstablishmentClosed (name),CloseDate,PhaseOfEducation (code),PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (code),Boarders (name),NurseryProvision (name),OfficialSixthForm (code),OfficialSixthForm (name),Gender (code),Gender (name),ReligiousCharacter (code),ReligiousCharacter (name),ReligiousEthos (name),Diocese (code),Diocese (name),AdmissionsPolicy (code),AdmissionsPolicy (name),SchoolCapacity,SpecialClasses (code),SpecialClasses (name),CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlag (code),TrustSchoolFlag (name),Trusts (code),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (code),Federations (name),UKPRN,FEHEIdentifier,FurtherEducationType (name),OfstedLastInsp,OfstedSpecialMeasures (code),OfstedSpecialMeasures (name),LastChangedDate,Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,InspectorateName (name),InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMoth (name),TeenMothPlaces,CCF (name),SENPRU (name),EBD (name),PlacesPRU,FTProv (name),EdByOther (name),Section41Approved (name),SEN1 (name),SEN2 (name),SEN3 (name),SEN4 (name),SEN5 (name),SEN6 (name),SEN7 (name),SEN8 (name),SEN9 (name),SEN10 (name),SEN11 (name),SEN12 (name),SEN13 (name),TypeOfResourcedProvision (name),ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GOR (code),GOR (name),DistrictAdministrative (code),DistrictAdministrative (name),AdministrativeWard (code),AdministrativeWard (name),ParliamentaryConstituency (code),ParliamentaryConstituency (name),UrbanRural (code),UrbanRural (name),GSSLACode (name),Easting,Northing,CensusAreaStatisticWard (name),MSOA (name),LSOA (name),Inspectorate (name),SENStat,SENNoStat,BoardingEstablishment (name),PropsName,PreviousLA (code),PreviousLA (name),PreviousEstablishmentNumber,OfstedRating (name),RSCRegion (name),Country (name),UPRN,SiteName,MSOA (code),LSOA (code)
104887,343,Sefton,2088,Larkfield Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0,Not applicable,0,Not applicable,311,2,No Special Classes,18/01/2018,294,150,144,11.6,0,Not applicable,,,Not applicable,,Not under a federation,,,10076370,,Not applicable,04/02/2016,0,Not applicable,20/09/2018,Preston New Road,,,Southport,Merseyside,PR9 8PA,www.larkfieldprimary.co.uk,1704224720,Mr,J D,Ward,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,B,North West,E08000014,Sefton,E05000945,Meols,E14000958,Southport,C1,Urban city and town,E08000014,336507,419248,,Sefton 002,Sefton 002C,,,,,,999,,,Good,Lancashire and West Yorkshire,,41074891,,E02001430,E01007032
104977,343,Sefton,7004,Presfield High School and Specialist College,7,Community special school,5,Special schools,1,Open,0,Not applicable,,0,Not applicable,,0,Not applicable,11,19,1,No boarders,Not applicable,1,Has a sixth form,3,Mixed,0,Does not apply,Does not apply,0,Not applicable,0,Not applicable,88,1,Has Special Classes,18/01/2018,97,81,16,31.9,0,Not applicable,,,Not applicable,,Not under a federation,,,10017560,,Not applicable,07/02/2018,0,Not applicable,20/09/2018,Preston New Road,Churchtown,,Southport,Merseyside,PR9 8PA,www.presfieldschool.org,1704227831,Mr,Tony,Fay,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,ASD - Autistic Spectrum Disorder,,,,,,,,,,,,,,,,,,B,North West,E08000014,Sefton,E05000945,Meols,E14000958,Southport,C1,Urban city and town,E08000014,336504,419336,,Sefton 002,Sefton 002C,,,,,,999,,,Good,Lancashire and West Yorkshire,,41074892,,E02001430,E01007032
133748,343,Sefton,7014,Peterhouse School,8,Non-maintained special school,5,Special schools,1,Open,2,Result of Closure,01/09/2002,0,Not applicable,,0,Not applicable,5,19,2,Children's home (Boarding school),No Nursery Classes,1,Has a sixth form,3,Mixed,0,Does not apply,Does not apply,0,Not applicable,0,Not applicable,64,1,Has Special Classes,18/01/2018,45,39,6,15.4,0,Not applicable,,,Not applicable,,Not applicable,,,10017150,,Not applicable,27/02/2018,0,Not applicable,19/09/2018,Preston New Road,Churchtown,,Southport,Merseyside,PR9 8PA,www.peterhouseschool.com,1704506682,Mrs,Janet,Allan,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,ASD - Autistic Spectrum Disorder,,,,,,,,,,,,,,,,,,B,North West,E08000014,Sefton,E05000945,Meols,E14000958,Southport,C1,Urban city and town,E08000014,336522,419393,,Sefton 002,Sefton 002C,,,,,,999,,,Outstanding,Lancashire and West Yorkshire,,41074897,,E02001430,E01007032
104901,343,Sefton,3304,Holy Trinity Church of England Primary School,2,Voluntary aided school,4,LA maintained schools,2,Closed,0,Not applicable,,10,Academy Converter,31/01/2018,2,Primary,5,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE22,Diocese of Liverpool,0,Not applicable,210,2,No Special Classes,18/01/2018,205,99,106,20.5,0,Not applicable,,,Not applicable,,Not under a federation,,,,,Not applicable,30/04/2014,0,Not applicable,20/09/2018,Manchester Road,,,Southport,Merseyside,PR9 9AZ,www.holytrinityprimary.co.uk,1704538366,Mrs,Sue,Mawdsley,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,B,North West,E08000014,Sefton,E05000938,Duke's,E14000958,Southport,C1,Urban city and town,E08000014,334213,417491,,Sefton 004,Sefton 004G,,,,,,999,,,Good,Lancashire and West Yorkshire,,41058145,,E02001432,E01033097
145454,343,Sefton,3304,"Holy Trinity Church of England Primary School, Southport",34,Academy converter,10,Academies,1,Open,10,Academy Converter,01/02/2018,99,,,2,Primary,5,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE22,Diocese of Liverpool,0,Not applicable,210,2,No Special Classes,,,,,,3,Supported by a multi-academy trust,4956,LIVERPOOL DIOCESAN SCHOOLS TRUST,Linked to a sponsor,Diocese of Liverpool,Not applicable,,,10066628,,Not applicable,,0,Not applicable,30/07/2018,Manchester Road,,,Southport,Merseyside,PR9 9AZ,www.holytrinityprimary.co.uk,1704538366,Mrs,Sue,Mawdsley,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,B,North West,E08000014,Sefton,E05000938,Duke's,E14000958,Southport,C1,Urban city and town,E08000014,334213,417491,,Sefton 004,Sefton 004G,,,,,,999,,,,Lancashire and West Yorkshire,,41058145,,E02001432,E01033097
104967,343,Sefton,6019,Tower Dene Preparatory School,11,Other independent school,3,Independent schools,2,Closed,0,Not applicable,09/12/1957,2,Closure,28/11/2005,0,Not applicable,5,10,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,6,None,None,0,Not applicable,2,Selective,140,2,No Special Classes,,,,,,0,Not applicable,,,Not applicable,,Not applicable,,,,,Not applicable,,0,Not applicable,25/09/2015,59-76 Cambridge Road,,,Southport,Merseyside,PR9 9RH,,1704228556,Co Headteacher,J,Preston,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not approved,,,,,,,,,,,,,,,,,,,B,North West,E08000014,Sefton,E05000945,Meols,E14000958,Southport,C1,Urban city and town,E08000014,335803,418612,,Sefton 003,Sefton 003E,,0,0,,Mr & Mrs John Lewin,999,,,,Lancashire and West Yorkshire,,,,E02001431,E01007034
104918,343,Sefton,3339,St Patrick's Catholic Primary School,2,Voluntary aided school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,5,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,3,Roman Catholic,Does not apply,RC11,Archdiocese of Liverpool,0,Not applicable,378,2,No Special Classes,18/01/2018,356,187,169,9.3,0,Not applicable,,,Not applicable,,Not under a federation,,,10074979,,Not applicable,13/03/2013,0,Not applicable,20/09/2018,Radnor Drive,Churchtown,,Southport,Lancashire,PR9 9RR,http://www.stpatrickschurchtown.com,1704225906,Mr,G R,Bevin,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,B,North West,E08000014,Sefton,E05000935,Cambridge,E14000958,Southport,C1,Urban city and town,E08000014,336121,418962,,Sefton 002,Sefton 002A,,,,,,999,,,Outstanding,Lancashire and West Yorkshire,,41129382,,E02001430,E01006947
104944,343,Sefton,4003,Stanley High School,1,Community school,4,LA maintained schools,2,Closed,0,Not applicable,,6,For Academy,31/08/2017,4,Secondary,11,16,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0,Not applicable,4,Non-selective,750,2,No Special Classes,19/01/2017,669,385,285,13.2,0,Not applicable,,,Not applicable,,Not under a federation,,,10017188,,Not applicable,15/06/2016,0,Not applicable,18/10/2018,Fleetwood Road,,,Southport,Merseyside,PR9 9TF,www.stanleyhigh.co.uk,1704228940,Mr,Neil,Moore,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,B,North West,E08000014,Sefton,E05000935,Cambridge,E14000958,Southport,C1,Urban city and town,E08000014,335676,419668,,Sefton 003,Sefton 003B,,,,,,999,,,Special Measures,Lancashire and West Yorkshire,,41032054,,E02001431,E01006948
144618,343,Sefton,4005,Stanley High School,28,Academy sponsor led,10,Academies,1,Open,6,New Provision,01/09/2017,99,,,4,Secondary,11,16,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,,0,Not applicable,4,Non-selective,750,0,Not applicable,18/01/2018,603,335,268,11.5,3,Supported by a multi-academy trust,16810,SOUTHPORT LEARNING TRUST,-,,Not applicable,,,10064776,,,,0,Not applicable,18/10/2018,Fleetwood Road,,,Southport,Merseyside,PR9 9TF,www.stanleyhigh.co.uk,1704228940,Mr,Neil,Moore,,Not applicable,,,,Not applicable,,,Not applicable,Not applicable,,,,Not applicable,,,,,,,,,,,,,,,,,,,B,North West,E08000014,Sefton,E05000935,Cambridge,E14000958,Southport,C1,Urban city and town,E08000014,335676,419668,,Sefton 003,Sefton 003B,,,,,,999,,,,Lancashire and West Yorkshire,,41032054,,E02001431,E01006948
104866,343,Sefton,2047,Marshside Primary School,1,Community school,4,LA maintained schools,1,Open,0,Not applicable,,0,Not applicable,,2,Primary,4,11,1,No boarders,No Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0,Not applicable,0,Not applicable,210,2,No Special Classes,18/01/2018,186,104,82,18.8,0,Not applicable,,,Not applicable,,Not under a federation,,,10076372,,Not applicable,26/02/2015,0,Not applicable,20/09/2018,Elswick Road,Marshside,,Southport,Merseyside,PR9 9XA,www.marshsideprimary.org.uk,1704211177,Mrs,Katharine,Hall,Headteacher,Not applicable,,,,Not applicable,,Not applicable,Not applicable,Not applicable,,,Not applicable,Not applicable,,,,,,,,,,,,,,,,,,,B,North West,E08000014,Sefton,E05000935,Cambridge,E14000958,Southport,C1,Urban city and town,E08000014,336033,420120,,Sefton 001,Sefton 001A,,,,,,999,,,Good,Lancashire and West Yorkshire,,41034194,,E02001429,E01006946
